"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
270720,AXISBANK,1,"2025-07-03 12:53:00",1175.00,1175.20,1175.00,1175.10,3957.00,0.00,1
270721,AXISBANK,1,"2025-07-03 12:54:00",1175.00,1175.30,1175.00,1175.20,6131.00,0.00,1
270722,AXISBANK,1,"2025-07-03 12:55:00",1175.20,1175.40,1175.00,1175.00,12787.00,0.00,1
270723,AXISBANK,1,"2025-07-03 12:56:00",1175.00,1175.50,1175.00,1175.00,5009.00,0.00,1
270724,AXISBANK,1,"2025-07-03 12:57:00",1175.00,1175.30,1175.00,1175.30,3625.00,0.00,1
270725,AXISBANK,1,"2025-07-03 12:58:00",1175.00,1175.30,1175.00,1175.00,3092.00,0.00,1
270726,AXISBANK,1,"2025-07-03 12:59:00",1175.00,1175.30,1175.00,1175.20,3007.00,0.00,1
270727,AXISBANK,1,"2025-07-03 13:00:00",1175.20,1175.20,1174.30,1174.70,46817.00,0.00,1
270728,AXISBANK,1,"2025-07-03 13:01:00",1174.70,1175.00,1174.20,1174.80,8464.00,0.00,1
270729,AXISBANK,1,"2025-07-03 13:02:00",1174.40,1175.00,1174.30,1174.90,6890.00,0.00,1
270730,AXISBANK,1,"2025-07-03 13:03:00",1174.90,1175.00,1174.30,1174.90,7905.00,0.00,1
270731,AXISBANK,1,"2025-07-03 13:04:00",1174.90,1175.00,1174.50,1174.90,6761.00,0.00,1
270732,AXISBANK,1,"2025-07-03 13:05:00",1174.90,1175.00,1174.40,1174.40,8913.00,0.00,1
270733,AXISBANK,1,"2025-07-03 13:06:00",1174.40,1175.00,1174.40,1175.00,3751.00,0.00,1
270734,AXISBANK,1,"2025-07-03 13:07:00",1175.00,1175.00,1174.50,1174.50,4218.00,0.00,1
270735,AXISBANK,1,"2025-07-03 13:08:00",1175.00,1175.00,1174.50,1175.00,5109.00,0.00,1
270736,AXISBANK,1,"2025-07-03 13:09:00",1175.00,1175.00,1174.80,1175.00,4110.00,0.00,1
270737,AXISBANK,1,"2025-07-03 13:10:00",1175.00,1175.00,1174.60,1174.60,5003.00,0.00,1
270738,AXISBANK,1,"2025-07-03 13:11:00",1174.80,1174.80,1174.50,1174.80,3816.00,0.00,1
270739,AXISBANK,1,"2025-07-03 13:12:00",1174.70,1174.90,1174.50,1174.90,4580.00,0.00,1
270740,AXISBANK,1,"2025-07-03 13:13:00",1174.90,1175.00,1174.60,1175.00,5396.00,0.00,1
270741,AXISBANK,1,"2025-07-03 13:14:00",1174.60,1175.80,1174.60,1175.00,15888.00,0.00,1
270742,AXISBANK,1,"2025-07-03 13:15:00",1175.00,1175.20,1174.70,1174.70,4234.00,0.00,1
270743,AXISBANK,1,"2025-07-03 13:16:00",1174.90,1174.90,1173.40,1174.10,10162.00,0.00,1
270744,AXISBANK,1,"2025-07-03 13:17:00",1174.10,1174.60,1173.70,1174.50,8446.00,0.00,1
270745,AXISBANK,1,"2025-07-03 13:18:00",1174.50,1175.00,1174.10,1175.00,5263.00,0.00,1
270746,AXISBANK,1,"2025-07-03 13:19:00",1175.00,1175.30,1174.60,1175.30,5411.00,0.00,1
